dsample,RMSE_rand,MAE_rand,R2_rand,RMSE_surf,MAE_surf,R2_surf,RMSE_spatial,MAE_spatial,R2_spatial,RMSE_kndm,MAE_kndm,R2_kndm,RMSE_nndm,MAE_nndm,R2_nndm,time_kndm_mod,time_nndm_mod,time_kndm_alg,time_nndm_alg
wclust,0.09198327631604179,0.06519031832049883,0.88156835777968,0.09406151115565262,0.07253153782173989,0.8701344970676277,0.14448465662222304,0.10635573848391207,0.684821448514763,0.0997778396712715,0.07282192933769113,0.8567529152741412,0.11795526647770684,0.07753496969601058,0.7790004784390017,0.17800000000011096,0.4919999999999618,0.3369999999999891,0.0809999999999036
sclust,0.06687253580703727,0.05027533918751403,0.9379914787164083,0.15076747559727435,0.11217684032687772,0.5821157054620955,0.13865652133815534,0.10636378612870662,0.699054045349465,0.14764597731422857,0.1086291001755713,0.6950845594495716,0.22650747468823654,0.16906302597984674,0.2371965709262649,0.17599999999993088,0.41899999999986903,0.2720000000001619,0.5590000000001965
sregular,0.10405201595994021,0.07867551755216559,0.8327783344062389,0.08273428372294964,0.06479743427458355,0.8974145845514583,0.1309204891918678,0.10403011677879447,0.74031168526485025,0.10401190512227504,0.07858325555540467,0.8370294428255303,0.09807312982349828,0.07262337385642983,0.8600632313919183,0.09799999999995634,0.49900000000002365,0.0060000000000854925,0.041999999999916326
wregular,0.099758673814123,0.07443113096673293,0.7978545806080951,0.0893406622994575,0.06874491344013181,0.9030556878419066,0.13951008705414714,0.10657524464360943,0.5827888913892686,0.10237624189006223,0.07461278315549183,0.7886205625035552,0.09762078870673606,0.07050444388412477,0.8063716690344462,0.15399999999999636,0.5209999999999582,0.007000000000061846,0.057999999999992724
random,0.08335465968821748,0.06392183577292287,0.8763657492086416,0.09602825097176007,0.0736354743259874,0.8669720284421378,0.12196647214426201,0.08964459114797413,0.7305414920033698,0.08989944380139181,0.06797495545584706,0.854437901419668,0.08448856439116062,0.06433366113794967,0.8818515689223231,0.1510000000000673,0.5149999999998727,0.0060000000000854925,0.04500000000007276
wclust,0.07692983887237746,0.05531278850986361,0.9086445088328825,0.103482810691113,0.07940250584565665,0.8054317438920267,0.15501616829535037,0.11383601001629054,0.5890426152107152,0.10748937401550854,0.0737506810627414,0.7890086937178484,0.09905293062245205,0.07155345730466536,0.839363801109913,0.1430000000000291,0.4980000000000473,0.27700000000004366,0.07699999999999818
sclust,0.06734914519994231,0.04434614097601425,0.8367400297647731,0.14490035903228407,0.1047260298448148,0.718571596877793,0.10430821558173778,0.07778141290031375,0.5899954100603233,0.09938588889722264,0.07140965350115051,0.6616614060599538,0.09278733846086815,0.06094909581327192,0.6769126966679672,0.14699999999993452,0.5040000000001328,0.30300000000011096,0.16999999999984539
sregular,0.10009227270973553,0.07636976037219763,0.8401070389220264,0.08369594454768436,0.06362387660626764,0.912694018929173,0.13733812593637434,0.11041114557119636,0.6896646468031962,0.10960382429909084,0.08317263709181653,0.810494427103058,0.10120595762706128,0.07792814129201196,0.8449133823229837,0.15300000000002,0.5080000000000382,0.007000000000061846,0.05199999999990723
wregular,0.09544373751289906,0.07332785738791009,0.8729491621630812,0.08807492017861558,0.0668724465882309,0.8764684247026937,0.15143021567349496,0.12074588470331801,0.6758393077325472,0.10029346414038612,0.07479367332977961,0.858351204545607,0.09670653092574323,0.07356300701493396,0.8727645493177361,0.14599999999995816,0.5380000000000109,0.0060000000000854925,0.04300000000012005
random,0.09391483364659821,0.06919822353635063,0.8695645475021375,0.09038985199492897,0.07042597661496566,0.8649035113515426,0.11354337155223511,0.08941625960457447,0.8064361640886684,0.10538124127073416,0.07442084709839236,0.8292478566596779,0.09305257345326777,0.06922810122837468,0.8728721990509504,0.1449999999999818,0.525000000000091,0.009000000000014552,0.07500000000004547
wclust,0.08677377009061298,0.06386489484505728,0.8101559564215008,0.12145631686818804,0.08886158656462863,0.811596172043623,0.11740487175541049,0.09585212184545273,0.6909486968977628,0.11125523959894199,0.0838101356455932,0.6660273011720281,0.09884557959201752,0.07283387511338418,0.7487734499001703,0.1449999999999818,0.5109999999999673,0.3580000000001746,0.12800000000015643
sclust,0.07898472822685369,0.05501288839620847,0.8845001560009436,0.12690136456753226,0.09538366389624103,0.7888386206811495,0.15547623232408592,0.11568028874234607,0.5603405247836937,0.12320295923763172,0.09027896900241575,0.7216911838272194,0.11682138304428742,0.08302578655273964,0.7311290043813736,0.1750000000001819,0.48500000000012733,0.33400000000006,0.19699999999988904
sregular,0.10165085754060003,0.07371777564131651,0.7923402991666224,0.09230037300807119,0.07064662953983858,0.887474513392191,0.11619336800377715,0.0875163637586487,0.719120922041209,0.10010692666648742,0.07355358362690192,0.8036081338714743,0.10151129290041765,0.07477608993003358,0.7957872292237878,0.15899999999987813,0.5360000000000582,0.0060000000000854925,0.04899999999997817
wregular,0.08895032149431728,0.06610300555585752,0.820004587890076,0.10458550986622361,0.07681612373522484,0.8521145283153558,0.1323258949214129,0.10288646146903437,0.5433615097112752,0.08995135414979244,0.06855555947266556,0.815076774224071,0.09421969740052429,0.0700994940258081,0.796000775476097,0.1449999999999818,0.5080000000000382,0.006999999999834472,0.044000000000096406
random,0.08353032078449193,0.06250330195581415,0.8707015636530854,0.09887954087818013,0.07331057346512362,0.8665164784824585,0.14039328768667234,0.10597357100142932,0.5270945431647108,0.08365776258594841,0.06366352330087946,0.8570879373009912,0.08629730468520558,0.0653911646921434,0.8506398380965227,0.17899999999985994,0.5440000000000964,0.0060000000000854925,0.04800000000000182
wclust,0.08212229550789402,0.05740783300704323,0.86109179318966,0.10074307582117442,0.07222651364192814,0.8450141934793138,0.14162503210170388,0.10548113339139344,0.5570721156066627,0.10063507691520111,0.0726598231626795,0.7859427264829948,0.10077848403790761,0.0719696566221308,0.7964874609327116,0.1430000000000291,0.5019999999999527,0.26900000000000546,0.06600000000003092
sclust,0.08644049532329504,0.051875502674914885,0.8187862565691316,0.11399944139402378,0.08453347269538679,0.8155812510127272,0.1732172787667517,0.12766177887325486,0.2861332835431053,0.16356566718187132,0.11698374945466718,0.34283398887034755,0.13014699316970865,0.08754582974811395,0.5690529497250765,0.1490000000001146,0.49099999999998545,0.26900000000000546,0.1690000000000964
sregular,0.09535738236214195,0.06996161488546666,0.8365227735517102,0.0914445368864164,0.06916547669463377,0.8786310159685355,0.12931243307003207,0.09797192252261878,0.6568793262210867,0.09935207627448851,0.0730060679714461,0.821474219761266,0.09658452138829288,0.07048641616617463,0.8326849242576225,0.14600000000018554,0.4980000000000473,0.005000000000109139,0.041999999999916326
wregular,0.09444342240591844,0.07004008175977679,0.8295507554118002,0.09725848257583601,0.07500654686277998,0.8803685754945967,0.13280185232837705,0.09776259002464224,0.6028327322554116,0.10149836712461793,0.0731825414641293,0.7980001429641358,0.09522923324937296,0.07019271411023005,0.8272710845511742,0.1449999999999818,0.5799999999999272,0.005999999999858119,0.041999999999916326
random,0.09289960496687152,0.07075618674106275,0.8660772033060944,0.08730434168838871,0.06676207028418388,0.8734328178699414,0.14789407365415078,0.11892540643399889,0.6388346692447964,0.09536758006552697,0.07385874072795423,0.859371648628989,0.09813046302506902,0.07507585084235296,0.8461308214686636,0.14400000000000546,0.5879999999999654,0.27300000000013824,0.04600000000004911
wclust,0.07757616009390288,0.05960131432631377,0.8910200882192089,0.1245914049034952,0.08956896022247453,0.7292918953161488,0.11515254704102428,0.09731720822572551,0.75702791564118,0.10287017623208115,0.08314792806114471,0.7994965750780788,0.09609348010385052,0.0736978067103829,0.8236643379800485,0.22299999999995634,0.5009999999999764,0.2680000000000291,0.11300000000005639
sclust,0.07092219533985125,0.04581744782852941,0.9109129328867639,0.12491058767490483,0.09586483209297779,0.7307192358155948,0.17861145837808573,0.13757361458696116,0.4246441844235462,0.1579836273652067,0.1208116464131015,0.6971578527968221,0.13985008246789787,0.09885529474157219,0.6485063500983302,0.1470000000001619,0.4939999999999145,0.2740000000001146,0.19900000000006912
sregular,0.09776914838717626,0.0735974825195065,0.8451396891196352,0.08200590503806517,0.06262888749476304,0.9006746678671508,0.12156655391135475,0.09382095382290481,0.7363637620709631,0.10380645582166917,0.07633344856034086,0.8186506820852493,0.09861620624663044,0.07464045868995553,0.8400663699914896,0.14699999999993452,0.5090000000000146,0.005999999999858119,0.0420000000001437
wregular,0.0918812492972802,0.07120095490342628,0.8809983884902923,0.08102356895239951,0.06053010351043674,0.9028118505907601,0.14325776836109827,0.1081867269605957,0.6777511258041636,0.097716087653794,0.07723441617676988,0.8616815933679707,0.09848537164623836,0.07660781562628845,0.8609211667690917,0.14899999999988722,0.51299999999992,0.0060000000000854925,0.041999999999916326
