"","method","variate","design","number","RMSE","time_mod","time_alg","time_overall"
"120","exhaustive_test","AGB","clusterStrong",20,38.3994054633256,NA,NA,NA
"121","exhaustive_test","AGB","clusterStrong",21,34.7686821036219,NA,NA,NA
"122","exhaustive_test","AGB","clusterStrong",22,34.0555566566883,NA,NA,NA
"123","exhaustive_test","AGB","clusterStrong",23,32.3829346942532,NA,NA,NA
"124","exhaustive_test","AGB","clusterStrong",24,33.0231950698956,NA,NA,NA
"125","exhaustive_test","AGB","clusterStrong",25,32.0558958155918,NA,NA,NA
"126","exhaustive_test","AGB","clusterStrong",26,32.5087774682682,NA,NA,NA
"127","exhaustive_test","AGB","clusterStrong",27,33.0811360038465,NA,NA,NA
"128","exhaustive_test","AGB","clusterStrong",28,33.6203691857719,NA,NA,NA
"129","exhaustive_test","AGB","clusterStrong",29,34.0293347342799,NA,NA,NA
"130","exhaustive_test","AGB","clusterStrong",30,33.0765637639158,NA,NA,NA
"131","exhaustive_test","AGB","clusterStrong",31,34.1862177027268,NA,NA,NA
"132","exhaustive_test","AGB","clusterStrong",32,31.854367506932,NA,NA,NA
"133","exhaustive_test","AGB","clusterStrong",33,33.7271690208322,NA,NA,NA
"134","exhaustive_test","AGB","clusterStrong",34,34.4988912472003,NA,NA,NA
"135","exhaustive_test","AGB","clusterStrong",35,33.3448633587942,NA,NA,NA
"136","exhaustive_test","AGB","clusterStrong",36,33.929564649435,NA,NA,NA
"137","exhaustive_test","AGB","clusterStrong",37,33.145582728714,NA,NA,NA
"138","exhaustive_test","AGB","clusterStrong",38,34.4596606751793,NA,NA,NA
"139","exhaustive_test","AGB","clusterStrong",39,33.0151135626421,NA,NA,NA
"140","exhaustive_test","AGB","clusterStrong",40,32.4803214932843,NA,NA,NA
"141","exhaustive_test","AGB","clusterStrong",41,34.4660348185114,NA,NA,NA
"142","exhaustive_test","AGB","clusterStrong",42,33.6310199321526,NA,NA,NA
"143","exhaustive_test","AGB","clusterStrong",43,36.9826974405849,NA,NA,NA
"144","exhaustive_test","AGB","clusterStrong",44,32.0827324506784,NA,NA,NA
"145","exhaustive_test","AGB","clusterStrong",45,34.1048912536114,NA,NA,NA
"146","exhaustive_test","AGB","clusterStrong",46,32.7878894429485,NA,NA,NA
"147","exhaustive_test","AGB","clusterStrong",47,33.7899568107671,NA,NA,NA
"148","exhaustive_test","AGB","clusterStrong",48,32.9683414805687,NA,NA,NA
"149","exhaustive_test","AGB","clusterStrong",49,35.7071472518908,NA,NA,NA
"150","exhaustive_test","AGB","clusterStrong",50,33.3782671445559,NA,NA,NA
"151","exhaustive_test","AGB","regular",1,30.6670858836567,NA,NA,NA
"152","exhaustive_test","AGB","regular",2,31.3911907574375,NA,NA,NA
"153","exhaustive_test","AGB","regular",3,31.5200276742367,NA,NA,NA
"154","exhaustive_test","AGB","regular",4,31.3622547189685,NA,NA,NA
"155","exhaustive_test","AGB","regular",5,31.4458874432013,NA,NA,NA
"156","exhaustive_test","AGB","regular",6,32.2755299337075,NA,NA,NA
"157","exhaustive_test","AGB","regular",7,31.4780869377104,NA,NA,NA
"158","exhaustive_test","AGB","regular",8,32.2371660022575,NA,NA,NA
"159","exhaustive_test","AGB","regular",9,31.5779797850808,NA,NA,NA
"160","exhaustive_test","AGB","regular",10,31.0937890994792,NA,NA,NA
"161","exhaustive_test","AGB","regular",11,31.8421480125414,NA,NA,NA
"162","exhaustive_test","AGB","regular",12,31.8228353914058,NA,NA,NA
"163","exhaustive_test","AGB","regular",13,32.2684905362523,NA,NA,NA
"164","exhaustive_test","AGB","regular",14,31.2701464496992,NA,NA,NA
"165","exhaustive_test","AGB","regular",15,31.2915495964998,NA,NA,NA
"166","exhaustive_test","AGB","regular",16,31.5808809447019,NA,NA,NA
"167","exhaustive_test","AGB","regular",17,31.6638467302742,NA,NA,NA
"168","exhaustive_test","AGB","regular",18,31.2490691120402,NA,NA,NA
"169","exhaustive_test","AGB","regular",19,31.4939840964294,NA,NA,NA
"170","exhaustive_test","AGB","regular",20,31.7696593205881,NA,NA,NA
"171","exhaustive_test","AGB","regular",21,31.9009065455585,NA,NA,NA
"172","exhaustive_test","AGB","regular",22,31.206408061882,NA,NA,NA
"173","exhaustive_test","AGB","regular",23,31.4655654867272,NA,NA,NA
"174","exhaustive_test","AGB","regular",24,31.8323224101177,NA,NA,NA
"175","exhaustive_test","AGB","regular",25,32.9350416392267,NA,NA,NA
"176","exhaustive_test","AGB","regular",26,31.4618253283445,NA,NA,NA
"177","exhaustive_test","AGB","regular",27,31.2812390347481,NA,NA,NA
"178","exhaustive_test","AGB","regular",28,32.0864149753645,NA,NA,NA
"179","exhaustive_test","AGB","regular",29,30.4560757318805,NA,NA,NA
"180","exhaustive_test","AGB","regular",30,31.9297287907505,NA,NA,NA
"181","exhaustive_test","AGB","regular",31,32.2875122290817,NA,NA,NA
"182","exhaustive_test","AGB","regular",32,31.2037867641566,NA,NA,NA
"183","exhaustive_test","AGB","regular",33,31.8557606325728,NA,NA,NA
"184","exhaustive_test","AGB","regular",34,33.2261315385374,NA,NA,NA
"185","exhaustive_test","AGB","regular",35,31.1973817660654,NA,NA,NA
"186","exhaustive_test","AGB","regular",36,32.8148259595499,NA,NA,NA
"187","exhaustive_test","AGB","regular",37,31.1076305501481,NA,NA,NA
"188","exhaustive_test","AGB","regular",38,31.4881311347307,NA,NA,NA
"189","exhaustive_test","AGB","regular",39,32.8177764283597,NA,NA,NA
