"","method","variate","design","number","RMSE","MEC"
"176","exhaustive_old","AGB","clusterMedium",76,29.8436182485544,0.835043315559661
"177","exhaustive_old","AGB","clusterMedium",77,29.4045730579605,0.839861143523976
"178","exhaustive_old","AGB","clusterMedium",78,29.7264443257829,0.836336099632087
"179","exhaustive_old","AGB","clusterMedium",79,29.1668098313054,0.842440415448176
"180","exhaustive_old","AGB","clusterMedium",80,29.0893140881932,0.843276569694149
"181","exhaustive_old","AGB","clusterMedium",81,29.6441208794041,0.837241335375315
"182","exhaustive_old","AGB","clusterMedium",82,30.0222223365706,0.833062986105591
"183","exhaustive_old","AGB","clusterMedium",83,29.7908454259735,0.835626189458442
"184","exhaustive_old","AGB","clusterMedium",84,29.0318322591772,0.843895343209658
"185","exhaustive_old","AGB","clusterMedium",85,29.9258938088383,0.834132527086119
"186","exhaustive_old","AGB","clusterMedium",86,30.0032705732,0.833273680182693
"187","exhaustive_old","AGB","clusterMedium",87,29.5120512685313,0.83868834003377
"188","exhaustive_old","AGB","clusterMedium",88,29.5680863117421,0.838075187995795
"189","exhaustive_old","AGB","clusterMedium",89,28.7286083185885,0.84713919461319
"190","exhaustive_old","AGB","clusterMedium",90,29.5080674628878,0.838731887730348
"191","exhaustive_old","AGB","clusterMedium",91,29.4753721985526,0.839089063438941
"192","exhaustive_old","AGB","clusterMedium",92,30.1134787385435,0.832046590714774
"193","exhaustive_old","AGB","clusterMedium",93,28.9452833867628,0.844824705371367
"194","exhaustive_old","AGB","clusterMedium",94,29.9396875243614,0.833979585554146
"195","exhaustive_old","AGB","clusterMedium",95,29.8149300251536,0.835360303910328
"196","exhaustive_old","AGB","clusterMedium",96,29.7184387517188,0.836424239810222
"197","exhaustive_old","AGB","clusterMedium",97,29.6547705439824,0.837124372113596
"198","exhaustive_old","AGB","clusterMedium",98,29.3380066967882,0.840585370669731
"199","exhaustive_old","AGB","clusterMedium",99,28.4681169674059,0.849898701231574
"200","exhaustive_old","AGB","clusterMedium",100,30.9629052454819,0.822437858436693
"201","exhaustive_old","AGB","clusterStrong",1,33.2713736676914,0.794974239897476
"202","exhaustive_old","AGB","clusterStrong",2,30.3477915623186,0.829422732929261
"203","exhaustive_old","AGB","clusterStrong",3,31.7948711647062,0.812767556135969
"204","exhaustive_old","AGB","clusterStrong",4,32.0128578769535,0.810191411300041
"205","exhaustive_old","AGB","clusterStrong",5,32.64050682119,0.802675616729817
"206","exhaustive_old","AGB","clusterStrong",6,30.4872485766183,0.827851425626838
"207","exhaustive_old","AGB","clusterStrong",7,31.1228548300995,0.820598602841891
"208","exhaustive_old","AGB","clusterStrong",8,30.659997747927,0.825895015763594
"209","exhaustive_old","AGB","clusterStrong",9,31.9410594108123,0.811041862276633
"210","exhaustive_old","AGB","clusterStrong",10,32.0324810362467,0.809958643219978
"211","exhaustive_old","AGB","clusterStrong",11,31.2804805202936,0.818776798340735
"212","exhaustive_old","AGB","clusterStrong",12,31.9308109671493,0.811163099091744
"213","exhaustive_old","AGB","clusterStrong",13,30.1560862704328,0.831570980250124
"214","exhaustive_old","AGB","clusterStrong",14,31.2081721873463,0.81961366540701
"215","exhaustive_old","AGB","clusterStrong",15,33.1154078209328,0.796891928505666
"216","exhaustive_old","AGB","clusterStrong",16,30.6945098417833,0.825502836387996
"217","exhaustive_old","AGB","clusterStrong",17,33.0318134783922,0.797916059379007
"218","exhaustive_old","AGB","clusterStrong",18,31.5509791930082,0.815628982947239
"219","exhaustive_old","AGB","clusterStrong",19,30.708154950166,0.825347658021506
"220","exhaustive_old","AGB","clusterStrong",20,35.3047635901766,0.76914803142323
"221","exhaustive_old","AGB","clusterStrong",21,32.1806731824703,0.808196195845016
"222","exhaustive_old","AGB","clusterStrong",22,31.8873332217839,0.811676998541331
